x1,x2
-1.75E+00,3.87E+00
2.73E-01,1.71E-01
-2.30E+00,3.31E+00
-9.92E-01,2.57E+00
1.13E+00,-8.32E-01
-2.13E+00,3.76E+00
-1.53E+00,3.81E+00
1.35E+00,-1.29E+00
-9.65E-01,2.98E+00
-8.46E-01,2.68E+00
-2.48E+00,3.90E+00
-1.20E+00,3.24E+00
4.76E-01,8.32E-02
7.53E-01,-6.93E-01
-1.62E+00,3.67E+00
-2.09E+00,3.51E+00
-7.81E-01,2.93E+00
-1.21E+00,3.18E+00
-2.16E+00,3.47E+00
-2.15E+00,3.39E+00
-1.51E+00,3.42E+00
-7.83E-01,2.84E+00
4.06E-01,-2.61E-01
1.18E+00,-9.52E-01
2.88E-01,1.62E-01
-2.89E+00,4.34E+00
3.59E-01,3.32E-01
6.80E-01,-4.17E-01
8.75E-01,-3.90E-01
-2.01E+00,3.17E+00
6.44E-01,-1.90E-01
8.06E-01,-5.22E-01
8.84E-01,-8.57E-01
-2.78E+00,4.18E+00
-2.04E+00,3.43E+00
-2.11E+00,3.32E+00
-9.07E-01,2.30E+00
-2.39E+00,3.62E+00
-2.01E+00,3.09E+00
7.47E-01,-3.81E-01
-2.18E+00,3.57E+00
-1.30E+00,3.11E+00
-2.51E+00,4.18E+00
-1.87E+00,3.00E+00
7.40E-01,-3.60E-01
-1.70E+00,3.80E+00
9.06E-01,-6.51E-01
-7.10E-01,2.24E+00
-1.91E+00,3.30E+00
-2.17E+00,3.46E+00
-1.71E+00,3.78E+00
-2.39E+00,4.11E+00
-1.79E+00,2.90E+00
7.91E-01,-5.58E-01
-1.08E+00,2.71E+00
-1.81E+00,2.88E+00
-1.23E+00,3.02E+00
1.01E+00,-4.50E-01
-2.00E+00,3.14E+00
-2.19E+00,3.44E+00
9.50E-01,-7.75E-01
1.02E+00,-6.72E-01
-1.54E+00,3.70E+00
1.11E+00,-1.12E+00
-2.08E+00,4.42E+00
-1.04E+00,3.17E+00
6.41E-01,-7.32E-02
-1.82E+00,4.14E+00
-1.96E+00,3.41E+00
-3.17E-01,1.87E+00
-7.72E-01,2.50E+00
-9.48E-01,2.78E+00
-1.06E+00,2.57E+00
-2.14E+00,3.61E+00
1.58E+00,-1.28E+00
-1.11E+00,2.95E+00
-2.13E+00,3.76E+00
7.97E-01,-3.48E-01
3.18E-01,3.06E-01
1.76E+00,-1.90E+00
-1.28E+00,3.09E+00
1.09E+00,-7.64E-01
-1.71E+00,4.03E+00
-1.10E+00,3.38E+00
1.15E+00,-1.01E+00
-1.87E+00,3.20E+00
-8.22E-01,2.46E+00
-1.42E+00,3.62E+00
-1.28E+00,3.26E+00
-1.03E+00,2.49E+00
9.92E-01,-7.25E-01
-1.61E+00,2.54E+00
-1.22E+00,3.04E+00
-1.89E+00,3.24E+00
-1.26E+00,3.24E+00
-1.35E+00,3.52E+00
1.23E+00,-1.26E+00
8.31E-01,-6.61E-01
-2.36E+00,3.74E+00
-1.06E+00,2.80E+00
1.30E+00,-1.08E+00
-2.22E+00,3.52E+00
-1.17E+00,3.25E+00
-2.42E+00,3.75E+00
9.04E-01,-6.28E-01
-2.18E+00,3.54E+00
-5.67E-01,2.16E+00
-2.63E+00,4.16E+00
9.29E-01,-6.52E-01
-2.10E+00,3.65E+00
-1.71E+00,3.71E+00
-2.38E+00,3.78E+00
-1.68E+00,3.97E+00
8.46E-01,-4.70E-01
-1.03E+00,2.82E+00
-1.30E+00,3.22E+00
-2.06E+00,3.24E+00
9.45E-01,-9.13E-01
3.36E-01,3.82E-01
1.47E-01,5.79E-01
3.72E-01,1.58E-01
-1.76E+00,3.76E+00
-1.32E+00,2.05E+00
1.10E+00,-6.98E-01
-6.41E-01,2.15E+00
-4.95E-02,5.62E-01
9.52E-01,-4.67E-01
1.04E+00,-6.35E-01
-1.20E+00,3.16E+00
-2.62E+00,3.87E+00
-1.81E+00,2.67E+00
-1.14E+00,2.86E+00
-1.78E-01,1.71E+00
-1.50E+00,2.80E+00
-1.92E+00,4.25E+00
7.13E-01,-3.76E-01
6.11E-01,-1.26E-01
-1.31E+00,3.08E+00
7.71E-01,-5.10E-01
-2.61E+00,4.15E+00
-2.12E+00,3.04E+00
-1.27E+00,1.99E+00
-1.15E+00,2.71E+00
-1.27E+00,3.17E+00
8.01E-01,-3.76E-01
-2.27E+00,3.78E+00
-2.05E+00,3.47E+00
-2.77E+00,4.65E+00
-2.38E+00,3.56E+00
1.40E+00,-1.42E+00
-1.73E+00,3.20E+00
-2.31E+00,3.57E+00
-1.24E+00,3.27E+00
1.10E+00,-6.95E-01
1.22E+00,-9.92E-01
-1.04E+00,3.01E+00
4.20E-01,-1.60E-01
2.57E-01,2.08E-01
-2.04E+00,3.40E+00
-1.61E+00,3.57E+00
4.02E-01,-2.58E-02
-1.76E+00,3.10E+00
-8.46E-01,2.68E+00
-7.70E-01,2.60E+00
-2.34E+00,3.66E+00
-6.02E-01,2.23E+00
-1.54E+00,2.66E+00
-1.97E+00,3.00E+00
-2.08E+00,4.14E+00
-2.00E+00,3.32E+00
-1.35E+00,3.20E+00
6.10E-01,-1.54E-02
7.50E-01,-4.55E-01
6.40E-01,-1.02E-01
8.86E-01,-5.69E-01
-7.51E-01,2.46E+00
-1.10E+00,3.15E+00
-1.31E+00,3.20E+00
-8.95E-01,2.78E+00
-8.84E-01,3.07E+00
-1.70E+00,2.64E+00
-2.22E+00,3.45E+00
1.13E+00,-1.16E+00
-8.69E-01,2.80E+00
-9.70E-01,2.87E+00
7.65E-01,-5.02E-01
1.03E+00,-8.50E-01
1.57E+00,-1.85E+00
-2.05E+00,3.37E+00
9.11E-01,-3.30E-01
-2.14E+00,3.24E+00
-2.46E+00,3.86E+00
7.69E-01,-4.03E-01
7.94E-01,-3.26E-01
-2.16E+00,3.48E+00
-1.78E+00,3.05E+00
-1.77E+00,3.21E+00
1.80E+00,-1.73E+00
-9.72E-01,2.81E+00
-1.61E+00,3.47E+00
-2.05E+00,3.66E+00
9.22E-01,-8.42E-01
-1.22E+00,2.93E+00
-1.29E+00,2.57E+00
